date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:23	10281/10281	U--MC-	200	updated ('OK')	text/html	date:Sat,%2001%20Apr%202017%2008:41:22%20GMT	http://localhost/Documentation/apf/overview/	D:/Projects/SmartHome/Documentation/APF%20Format/APF/localhost/Documentation/apf/overview/index.html	(from )
10:41:23	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202017%2008:41:22%20GMT	http://localhost/robots.txt		(from )
10:41:24	28266/28266	U-----	200	untouched ('OK')	text/css	etag:%226e6a-54be50064362e%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1	D:/Projects/SmartHome/Documentation/APF%20Format/APF/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons128b.css	(from http://localhost/Documentation/apf/overview/)
10:41:24	13816/13816	U-----	200	untouched ('OK')	text/css	etag:%2235f8-54be50021d69f%22	http://localhost/Documentation/wp-content/plugins/jetpack/modules/theme-tools/compat/twentyfifteen.css?ver=4.7.1	D:/Projects/SmartHome/Documentation/APF%20Format/APF/localhost/Documentation/wp-content/plugins/jetpack/modules/theme-tools/compat/twentyfifteen6996.css	(from http://localhost/Documentation/apf/overview/)
10:41:24	97685/97685	U-----	200	untouched ('OK')	text/css	etag:%2217d95-54be3fe4ffe47%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/style.css?ver=4.7.3	D:/Projects/SmartHome/Documentation/APF%20Format/APF/localhost/Documentation/wp-content/themes/twentyfifteen/stylefe9d.css	(from http://localhost/Documentation/apf/overview/)
10:41:24	97184/97184	U-----	200	untouched ('')	application/javascript	etag:%2217ba0-54be3fff17a1e%22	http://localhost/Documentation/wp-includes/js/jquery/jquery.js?ver=1.12.4	D:/Projects/SmartHome/Documentation/APF%20Format/APF/localhost/Documentation/wp-includes/js/jquery/jqueryb8ff.js	(from http://localhost/Documentation/apf/overview/)
10:41:24	10056/10056	U-----	200	untouched ('')	application/javascript	etag:%222748-54be3fff39559%22	http://localhost/Documentation/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/Projects/SmartHome/Documentation/APF%20Format/APF/localhost/Documentation/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/Documentation/apf/overview/)
10:41:25	727/727	U-----	200	untouched ('')	application/javascript	etag:%222d7-54be3fe57e1db%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/js/skip-link-focus-fix.js?ver=20141010	D:/Projects/SmartHome/Documentation/APF%20Format/APF/localhost/Documentation/wp-content/themes/twentyfifteen/js/skip-link-focus-fixd01e.js	(from http://localhost/Documentation/apf/overview/)
10:41:26	5920/5920	U-----	200	untouched ('')	application/javascript	etag:%221720-54be3fe565a2f%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/js/functions.js?ver=20150330	D:/Projects/SmartHome/Documentation/APF%20Format/APF/localhost/Documentation/wp-content/themes/twentyfifteen/js/functions8337.js	(from http://localhost/Documentation/apf/overview/)
10:41:26	10345/10345	U--MC-	200	updated ('OK')	text/html	date:Sat,%2001%20Apr%202017%2008:41:25%20GMT	http://localhost/Documentation/apf/todo/	D:/Projects/SmartHome/Documentation/APF%20Format/APF/localhost/Documentation/apf/todo/index.html	(from http://localhost/Documentation/apf/overview/)
