date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:17	10096/10096	U--MC-	200	updated ('OK')	text/html	date:Tue,%2004%20Apr%202017%2010:52:16%20GMT	http://localhost/Documentation/apfcreator/overview/	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/apfcreator/overview/index.html	(from )
12:52:18	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Apr%202017%2010:52:17%20GMT	http://localhost/robots.txt		(from )
12:52:18	97685/97685	U-----	200	untouched ('OK')	text/css	etag:%2217d95-54be3fe4ffe47%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/style.css?ver=4.7.3	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/wp-content/themes/twentyfifteen/stylefe9d.css	(from http://localhost/Documentation/apfcreator/overview/)
12:52:18	13816/13816	U-----	200	untouched ('OK')	text/css	etag:%2235f8-54be50021d69f%22	http://localhost/Documentation/wp-content/plugins/jetpack/modules/theme-tools/compat/twentyfifteen.css?ver=4.7.1	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/wp-content/plugins/jetpack/modules/theme-tools/compat/twentyfifteen6996.css	(from http://localhost/Documentation/apfcreator/overview/)
12:52:18	28266/28266	U-----	200	untouched ('OK')	text/css	etag:%226e6a-54be50064362e%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons128b.css	(from http://localhost/Documentation/apfcreator/overview/)
12:52:18	97190/97190	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%2217ba0-54be3fff17a1e%22	http://localhost/Documentation/wp-includes/js/jquery/jquery.js?ver=1.12.4	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/wp-includes/js/jquery/jqueryb8ff.js	(from http://localhost/Documentation/apfcreator/overview/)
12:52:18	10057/10057	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%222748-54be3fff39559%22	http://localhost/Documentation/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/Documentation/apfcreator/overview/)
12:52:19	753/753	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%222d7-54be3fe57e1db%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/js/skip-link-focus-fix.js?ver=20141010	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/wp-content/themes/twentyfifteen/js/skip-link-focus-fixd01e.js	(from http://localhost/Documentation/apfcreator/overview/)
12:52:19	6098/6098	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%221720-54be3fe565a2f%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/js/functions.js?ver=20150330	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/wp-content/themes/twentyfifteen/js/functions8337.js	(from http://localhost/Documentation/apfcreator/overview/)
12:52:20	1398/1398	U-----	200	untouched ('')	application/javascript	etag:%22576-54be3ffcb7946%22	http://localhost/Documentation/wp-includes/js/wp-embed.min.js?ver=4.7.3	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/wp-includes/js/wp-embed.minfe9d.js	(from http://localhost/Documentation/apfcreator/overview/)
12:52:21	22374/22374	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%225766-54be50064595b%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.eot	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.eot	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
12:52:21	11167/11167	U--MC-	200	updated ('OK')	text/html	date:Tue,%2004%20Apr%202017%2010:52:18%20GMT	http://localhost/Documentation/apfcreator/license/	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/apfcreator/license/index.html	(from http://localhost/Documentation/apfcreator/overview/)
12:52:21	10159/10159	U--MC-	200	updated ('OK')	text/html	date:Tue,%2004%20Apr%202017%2010:52:18%20GMT	http://localhost/Documentation/apfcreator/validation/	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/apfcreator/validation/index.html	(from http://localhost/Documentation/apfcreator/overview/)
12:52:21	22374/22374	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%225766-54be50064595b%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.eot?	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericonsd41d.eot	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
12:52:22	10725/10725	U--MC-	200	updated ('OK')	text/html	date:Tue,%2004%20Apr%202017%2010:52:18%20GMT	http://localhost/Documentation/apfcreator/creation/	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/apfcreator/creation/index.html	(from http://localhost/Documentation/apfcreator/overview/)
12:52:22	76980/76980	U-----	200	untouched ('OK')	image/svg+xml	etag:%2212cb4-54be500647c88%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.svg	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.svg	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
12:52:22	22188/22188	U-----	200	untouched ('')	application/x-font-ttf	etag:%2256ac-54be500649fb8%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.ttf	D:/Projects/BaseSystem/Documentation/APFCreator/APFCreator/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.ttf	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
