date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:52	10258/10258	U--MC-	200	updated ('OK')	text/html	date:Fri,%2014%20Apr%202017%2009:47:52%20GMT	http://localhost/Documentation/developmentenvironment/overview/	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/developmentenvironment/overview/index.html	(from )
11:47:53	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Apr%202017%2009:47:52%20GMT	http://localhost/robots.txt		(from )
11:47:53	13816/13816	U-----	200	untouched ('OK')	text/css	etag:%2235f8-54be50021d69f%22	http://localhost/Documentation/wp-content/plugins/jetpack/modules/theme-tools/compat/twentyfifteen.css?ver=4.7.1	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/plugins/jetpack/modules/theme-tools/compat/twentyfifteen6996.css	(from http://localhost/Documentation/developmentenvironment/overview/)
11:47:53	28266/28266	U-----	200	untouched ('OK')	text/css	etag:%226e6a-54be50064362e%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons128b.css	(from http://localhost/Documentation/developmentenvironment/overview/)
11:47:53	97685/97685	U-----	200	untouched ('OK')	text/css	etag:%2217d95-54be3fe4ffe47%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/style.css?ver=4.7.3	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/themes/twentyfifteen/stylefe9d.css	(from http://localhost/Documentation/developmentenvironment/overview/)
11:47:53	97190/97190	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%2217ba0-54be3fff17a1e%22	http://localhost/Documentation/wp-includes/js/jquery/jquery.js?ver=1.12.4	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-includes/js/jquery/jqueryb8ff.js	(from http://localhost/Documentation/developmentenvironment/overview/)
11:47:54	10057/10057	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%222748-54be3fff39559%22	http://localhost/Documentation/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/Documentation/developmentenvironment/overview/)
11:47:54	753/753	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%222d7-54be3fe57e1db%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/js/skip-link-focus-fix.js?ver=20141010	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/themes/twentyfifteen/js/skip-link-focus-fixd01e.js	(from http://localhost/Documentation/developmentenvironment/overview/)
11:47:54	6098/6098	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%221720-54be3fe565a2f%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/js/functions.js?ver=20150330	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/themes/twentyfifteen/js/functions8337.js	(from http://localhost/Documentation/developmentenvironment/overview/)
11:47:55	1398/1398	U-----	200	untouched ('')	application/javascript	etag:%22576-54be3ffcb7946%22	http://localhost/Documentation/wp-includes/js/wp-embed.min.js?ver=4.7.3	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-includes/js/wp-embed.minfe9d.js	(from http://localhost/Documentation/developmentenvironment/overview/)
11:47:55	22374/22374	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%225766-54be50064595b%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.eot	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.eot	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
11:47:55	11332/11332	U--MC-	200	updated ('OK')	text/html	date:Fri,%2014%20Apr%202017%2009:47:53%20GMT	http://localhost/Documentation/developmentenvironment/license/	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/developmentenvironment/license/index.html	(from http://localhost/Documentation/developmentenvironment/overview/)
11:47:55	11570/11570	U--MC-	200	updated ('OK')	text/html	date:Fri,%2014%20Apr%202017%2009:47:53%20GMT	http://localhost/Documentation/developmentenvironment/requirements/	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/developmentenvironment/requirements/index.html	(from http://localhost/Documentation/developmentenvironment/overview/)
11:47:55	10988/10988	U--MC-	200	updated ('OK')	text/html	date:Fri,%2014%20Apr%202017%2009:47:53%20GMT	http://localhost/Documentation/developmentenvironment/building-the-source/	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/developmentenvironment/building-the-source/index.html	(from http://localhost/Documentation/developmentenvironment/overview/)
11:47:55	22374/22374	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%225766-54be50064595b%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.eot?	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericonsd41d.eot	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
11:47:56	22188/22188	U-----	200	untouched ('')	application/x-font-ttf	etag:%2256ac-54be500649fb8%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.ttf	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.ttf	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
11:47:56	76980/76980	U-----	200	untouched ('OK')	image/svg+xml	etag:%2212cb4-54be500647c88%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.svg	D:/Projects/CarLauncher/BaseSystem/Documents/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.svg	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
