date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:26	10258/10258	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2010:45:25%20GMT	http://localhost/Documentation/developmentenvironment/overview/	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/developmentenvironment/overview/index.html	(from )
12:45:27	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Apr%202017%2010:45:25%20GMT	http://localhost/robots.txt		(from )
12:45:27	13816/13816	---M--	200	added ('OK')	text/css	etag:%2235f8-54be50021d69f%22	http://localhost/Documentation/wp-content/plugins/jetpack/modules/theme-tools/compat/twentyfifteen.css?ver=4.7.1	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/plugins/jetpack/modules/theme-tools/compat/twentyfifteen6996.css	(from http://localhost/Documentation/developmentenvironment/overview/)
12:45:27	28266/28266	---M--	200	added ('OK')	text/css	etag:%226e6a-54be50064362e%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons128b.css	(from http://localhost/Documentation/developmentenvironment/overview/)
12:45:28	97685/97685	---M--	200	added ('OK')	text/css	etag:%2217d95-54be3fe4ffe47%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/style.css?ver=4.7.3	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/themes/twentyfifteen/stylefe9d.css	(from http://localhost/Documentation/developmentenvironment/overview/)
12:45:29	727/727	---M--	200	added ('OK')	application/javascript	etag:%222d7-54be3fe57e1db%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/js/skip-link-focus-fix.js?ver=20141010	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/themes/twentyfifteen/js/skip-link-focus-fixd01e.js	(from http://localhost/Documentation/developmentenvironment/overview/)
12:45:29	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-54be3fff39559%22	http://localhost/Documentation/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/Documentation/developmentenvironment/overview/)
12:45:29	5920/5920	---M--	200	added ('OK')	application/javascript	etag:%221720-54be3fe565a2f%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/js/functions.js?ver=20150330	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/themes/twentyfifteen/js/functions8337.js	(from http://localhost/Documentation/developmentenvironment/overview/)
12:45:30	1398/1398	---M--	200	added ('OK')	application/javascript	etag:%22576-54be3ffcb7946%22	http://localhost/Documentation/wp-includes/js/wp-embed.min.js?ver=4.7.3	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-includes/js/wp-embed.minfe9d.js	(from http://localhost/Documentation/developmentenvironment/overview/)
12:45:31	23593/23593	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2010:45:29%20GMT	http://localhost/Documentation/developmentenvironment/license/	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/developmentenvironment/license/index.html	(from http://localhost/Documentation/developmentenvironment/overview/)
12:45:32	11570/11570	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2010:45:30%20GMT	http://localhost/Documentation/developmentenvironment/requirements/	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/developmentenvironment/requirements/index.html	(from http://localhost/Documentation/developmentenvironment/overview/)
12:45:32	10988/10988	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2010:45:30%20GMT	http://localhost/Documentation/developmentenvironment/building-the-source/	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/developmentenvironment/building-the-source/index.html	(from http://localhost/Documentation/developmentenvironment/overview/)
12:45:32	76980/76980	---M--	200	added ('OK')	image/svg+xml	etag:%2212cb4-54be500647c88%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.svg	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.svg	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
12:45:36	22374/22374	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225766-54be50064595b%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.eot	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.eot	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
12:45:37	22188/22188	---M--	200	added ('OK')	application/x-font-ttf	etag:%2256ac-54be500649fb8%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.ttf	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.ttf	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
12:45:37	22374/22374	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225766-54be50064595b%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.eot?	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericonsd41d.eot	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
12:45:39	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%2217ba0-54be3fff17a1e%22	http://localhost/Documentation/wp-includes/js/jquery/jquery.js?ver=1.12.4	D:/Projects/BaseSystem/Documentation/DevelopmentEnvironment/DevelopmentEnvironment/localhost/Documentation/wp-includes/js/jquery/jqueryb8ff.js	(from http://localhost/Documentation/developmentenvironment/overview/)
